,pval,color,goodgenes,GOterm,Punch,
80/559 oxidoreductase activity,0.007595628,yoked to consistent,80/559,oxidoreductase activity,CA1,CA1consistent yoked
"6/36 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.008169744,yoked to consistent,Jun-36,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",CA1,CA1consistent yoked
132/793 poly(A) RNA binding,0.000155216,yoked to consistent,132/793,poly(A) RNA binding,CA1,CA1consistent yoked
39/112 potassium ion transmembrane transporter activity,0.000536159,consistent,39/112,potassium ion transmembrane transporter activity,CA1,CA1consistent yoked
99/588 receptor activity,0.000155216,consistent,99/588,receptor activity,CA1,CA1consistent yoked
14/55 rRNA binding,0.008482296,yoked to consistent,14/55,rRNA binding,CA1,CA1consistent yoked
108/699 sequence-specific DNA binding transcription factor activity,0.004232617,consistent,108/699,sequence-specific DNA binding transcription factor activity,CA1,CA1consistent yoked
120/712 signal transducer activity,0.000155216,consistent,120/712,signal transducer activity,CA1,CA1consistent yoked
17/87 structural constituent of ribosome,3.79E-07,yoked to consistent,17/87,structural constituent of ribosome,CA1,CA1consistent yoked
138/682 transmembrane transporter activity,0.000306759,consistent,138/682,transmembrane transporter activity,CA1,CA1consistent yoked
154/827 transporter activity,0.000536159,consistent,154/827,transporter activity,CA1,CA1consistent yoked
35/133 voltage-gated ion channel activity,0.008482296,consistent,35/133,voltage-gated ion channel activity,CA1,CA1consistent yoked
23/60 voltage-gated potassium channel activity,0.003450623,consistent,23/60,voltage-gated potassium channel activity,CA1,CA1consistent yoked
