"N","High level GO category","Genes"
39,"Cell proliferation ","BTG2 AHR NR4A3 MYC THBS1 CITED2 SCG2 PTGS2 FOSL2 SRF HMGCR ODC1 ERRFI1 NR4A1 SOX9 FOXO1 LMNA ATF3 FZD5 ING2 JUNB JUN IRS2 PELI1 POU3F3 LBH ADAMTS1 USPL1 TRIB1 EGR3 HSPA1A FBXW7 EGR1 PER2 IRS1 CUL3 NUAK1 SGK1 EGR4"
38,"Response to external stimulus ","JUND PER2 JUNB SCG2 JUN THBS1 FOXO1 NR4A2 FZD5 PELI1 C2CD4B ADRB1 PTGS2 SRF HMGCR NR4A3 APAF1 KCNJ2 SOX9 FOSB FLRT3 SLC25A25 SLC16A1 BTG2 ATF3 CITED2 TNIP2 B3GNT2 FOS IL16 TRIB1 ODC1 NR4A1 CXADR EGR3 CPEB4 BDNF IRS2"
38,"Cellular component biogenesis ","NAF1 ARL13B SPTY2D1 CTNND1 HSPA1A SRF HMGCR KCNJ2 SOX9 DNAJB1 TRA2B PLK2 BDNF JUN FERMT2 RFX2 EIF5 APAF1 FLRT3 AMIGO2 LRRTM2 KCNF1 FZD5 SLITRK5 NPAS4 NAP1L5 KCNA4 ARC CUL3 SMAD7 HOMER1 NEDD9 NEFM EPRS MYC THBS1 UBC ANKRD28"
36,"Locomotion ","NEDD9 PAK6 SCG2 NR4A1 THBS1 EGR3 PTGS2 FBXW7 SRF NR4A3 SOX9 FLRT3 MYC ABHD2 PLK2 ARID5B NR4A2 LMNA ING2 ARL13B B3GNT2 IL16 FZD4 JUN IRS2 POU3F3 ADAMTS1 CUL3 CXADR CITED2 TRIB1 ARC SMAD7 SGK1 SLC16A1 BDNF"
35,"Immune system process ","SCG2 AHR EPRS THBS1 FZD5 IRF2BP2 SMAD7 FBXW7 SRF NR4A3 EGR1 SOX9 KLF2 KDM6B MYC TIPARP CITED2 NFIL3 TNIP2 FOS JUNB IL16 TRIB1 JUN EGR3 IRS2 PELI1 CXADR HSPA1A KLF6 SLC2A3 HSPH1 APAF1 UBC SLC16A1"
34,"Response to abiotic stimulus ","JUND PER2 JUNB JUN HSPA1A MYC FOXO1 BACH1 CITED2 PLK3 ADRB1 PTGS2 DNAJA1 HMGCR ERRFI1 EGR1 APAF1 KCNJ2 SOX9 FOSB THBS1 NR4A2 BTG2 FOS ARPP21 TSC22D2 SRF LMNA CPEB4 HSPH1 DNAJB1 UBC RANBP2 DNAJB4"
34,"Macromolecule localization ","NAF1 FZD5 MEST ARL4A RANBP2 ARL5B ARL13B ARL4D ANKRD13A DNAJA1 SMAD7 THBS1 IRS1 FERMT2 PTGS2 HMGCR SOX9 SYT4 EPRS FRMD6 SLC16A1 LMNA FZD4 SNX18 IRS2 ARC PPP1R15A FBXW7 PLK3 PER2 DUSP16 UBC SCG2 BDNF"
33,"Cell motility ","NEDD9 PAK6 SCG2 NR4A1 THBS1 EGR3 PTGS2 FBXW7 SRF SOX9 FLRT3 MYC ABHD2 PLK2 ARID5B NR4A2 LMNA ING2 ARL13B IL16 JUN IRS2 POU3F3 NR4A3 ADAMTS1 CUL3 CXADR CITED2 TRIB1 ARC SMAD7 SGK1 SLC16A1"
33,"Localization of cell ","NEDD9 PAK6 SCG2 NR4A1 THBS1 EGR3 PTGS2 FBXW7 SRF SOX9 FLRT3 MYC ABHD2 PLK2 ARID5B NR4A2 LMNA ING2 ARL13B IL16 JUN IRS2 POU3F3 NR4A3 ADAMTS1 CUL3 CXADR CITED2 TRIB1 ARC SMAD7 SGK1 SLC16A1"
30,"System process ","NPTX2 ADRB1 BDNF SRF C2CD4B PTGS2 SMAD7 HMGCR ERRFI1 RGS2 RGS4 NR4A3 KCNJ2 SOX9 SYT4 PLK2 FOXO1 HOMER1 BTG2 LMNA B3GNT2 FOS NPAS4 FZD4 JUN ARC POU3F3 PER2 CXADR SGK1"
29,"Cellular localization ","FZD5 ARL4A SYT4 RANBP2 ARL5B ARL13B ARL4D CUL3 ANKRD13A DNAJA1 SMAD7 FERMT2 PTGS2 HMGCR NR4A3 SOX9 FRMD6 LMNA ARC PPP1R15A FBXW7 PLK3 SNX18 PER2 DUSP16 GAD1 UBC BDNF ANKRD28"
29,"Multi-organism process ","JUND ABHD2 JUNB JUN CCNK FZD5 PELI1 PTGS2 RFX2 FBXW7 RGS2 SOX9 FOSB GAD1 MYC CXADR ADAMTS1 CITED2 ING2 TNIP2 FOS IL16 TRIB1 NPAS4 HSPA1A ODC1 UBC RANBP2 CTNND1"
27,"Catabolic process ","FZD5 CUL3 FBXW7 ABHD2 UBC TRIB1 SIAH2 HSPA1A SMAD7 PLK2 BTG2 PLK3 HMGCR ODC1 APAF1 SOX9 MYC FOXO1 FBXO33 NAF1 TIPARP IRS1 IRS2 PELI1 GAD1 RANBP2 ACAN"
24,"Anatomical structure formation involved in morphogenesis ","THBS1 SCG2 SRF NR4A1 FZD5 EGR3 CUL3 PTGS2 RFX2 FBXW7 NR4A3 APAF1 SOX9 KDM6B PCDH8 HS6ST1 PLK2 FOXO1 ADAMTS1 CITED2 JUNB LEMD3 JUN KLF2"
23,"Behavior ","BDNF PTGS2 NPTX2 SRF HMGCR NR4A3 EGR1 GAD1 SYT4 PLK2 HOMER1 NR4A2 SLC16A1 CIART BTG2 SLITRK5 FOS NPAS4 FZD4 JUN ARC THBS1 SGK1"
22,"Cell adhesion ","PCDH8 CTNND1 NUAK1 SMAD7 FLRT3 THBS1 CXADR C2CD4B FERMT2 NEDD9 SRF NR4A3 SOX9 AMIGO2 ACAN CITED2 RGMB FZD4 EGR3 PELI1 CLDN12 HSPH1"
22,"Biological adhesion ","PCDH8 CTNND1 NUAK1 SMAD7 FLRT3 THBS1 CXADR C2CD4B FERMT2 NEDD9 SRF NR4A3 SOX9 AMIGO2 ACAN CITED2 RGMB FZD4 EGR3 PELI1 CLDN12 HSPH1"
20,"Reproduction ","ABHD2 CITED2 SOX9 PTGS2 RFX2 RGS2 EGR1 FOSB HS6ST1 MYC ARID5B ADAMTS1 FZD5 TIPARP ING2 FOS JUNB FZD4 PEG10 CXADR"
20,"Cell cycle process ","PLK2 PLK3 HSPA1A MYC THBS1 ING2 CCNK ADAMTS1 CUL3 FBXW7 SOX9 SLC16A1 BACH1 SNX18 PPP1R15A PLAGL1 APAF1 PHLDA1 BTG2 LMNA"
20,"Reproductive process ","ABHD2 CITED2 SOX9 PTGS2 RFX2 RGS2 EGR1 FOSB HS6ST1 MYC ARID5B ADAMTS1 FZD5 TIPARP ING2 FOS JUNB FZD4 PEG10 CXADR"
20,"Regulation of locomotion ","THBS1 SCG2 PTGS2 FBXW7 SRF SOX9 MYC ABHD2 PLK2 LMNA IL16 JUN IRS2 NR4A3 ADAMTS1 NEDD9 CITED2 TRIB1 SMAD7 SGK1"
19,"Immune system development ","IRF2BP2 SMAD7 FBXW7 SRF EGR1 KLF2 FZD5 TIPARP CITED2 FOS JUNB TRIB1 JUN EGR3 MYC HSPA1A KLF6 NR4A3 THBS1"
19,"Regulation of immune system process ","AHR THBS1 FZD5 SMAD7 FBXW7 NR4A3 SOX9 TNIP2 FOS TRIB1 JUN EGR3 IRS2 PELI1 MYC HSPA1A HSPH1 UBC CXADR"
19,"Immune response ","EPRS FZD5 SMAD7 NR4A3 KDM6B MYC NFIL3 TNIP2 PELI1 THBS1 HSPA1A SLC2A3 EGR1 APAF1 UBC CXADR FOS IL16 JUN"
19,"Leukocyte activation ","AHR THBS1 IRF2BP2 SMAD7 SRF NR4A3 EGR1 FZD5 TNIP2 JUN EGR3 IRS2 PELI1 CXADR KLF6 SLC2A3 HSPH1 APAF1 HSPA1A"
17,"Growth ","DUSP6 SYT4 BDNF ADRB1 NEDD9 SRF RGS2 RGS4 SOX9 KLF2 SLC25A25 ARID5B CITED2 ING2 FLRT3 HSPA1A SGK1"
15,"Developmental process involved in reproduction ","ABHD2 CITED2 SOX9 PTGS2 RFX2 HS6ST1 MYC ARID5B ADAMTS1 FZD5 TIPARP ING2 JUNB FZD4 PEG10"
14,"Regulation of cell adhesion ","NUAK1 SMAD7 THBS1 C2CD4B SRF NR4A3 SOX9 PCDH8 CITED2 FZD4 EGR3 PELI1 NEDD9 HSPH1"
14,"Regulation of cellular component biogenesis ","SPTY2D1 HSPA1A SRF DNAJB1 PLK2 BDNF JUN SOX9 FLRT3 AMIGO2 LRRTM2 FZD5 SLITRK5 THBS1"
13,"Multicellular organism reproduction ","ABHD2 PTGS2 RFX2 RGS2 EGR1 SOX9 MYC ADAMTS1 CITED2 ING2 JUNB FZD4 CXADR"
13,"Multi-organism reproductive process ","ABHD2 PTGS2 RFX2 RGS2 SOX9 FOSB MYC ADAMTS1 CITED2 ING2 FOS JUNB CXADR"
13,"Developmental growth ","DUSP6 SYT4 BDNF ADRB1 SRF RGS2 RGS4 SOX9 KLF2 SLC25A25 ARID5B CITED2 FLRT3"
13,"Multicellular organismal reproductive process ","ABHD2 PTGS2 RFX2 RGS2 EGR1 SOX9 MYC ADAMTS1 CITED2 ING2 JUNB FZD4 CXADR"
12,"Response to biotic stimulus ","JUND JUNB JUN FZD5 PELI1 PTGS2 MYC TNIP2 FOS TRIB1 ODC1 APAF1"
12,"Regulation of growth ","DUSP6 SYT4 BDNF ADRB1 NEDD9 SRF RGS2 RGS4 CITED2 ING2 HSPA1A SGK1"
12,"Rhythmic process ","PER2 CIART NFIL3 AHR FBXW7 EGR1 JUND ADAMTS1 FZD4 JUN SIAH2 EGR3"
11,"Taxis ","SCG2 THBS1 NR4A3 FLRT3 B3GNT2 IL16 NR4A1 CXADR EGR3 BDNF IRS2"
10,"Circadian rhythm ","PER2 CIART NFIL3 FBXW7 EGR1 JUND JUN SIAH2 AHR EGR3"
10,"Interspecies interaction between organisms ","CCNK JUN FBXW7 MYC CXADR IL16 HSPA1A UBC RANBP2 CTNND1"
10,"Response to other organism ","JUND JUNB JUN FZD5 PELI1 PTGS2 TNIP2 FOS TRIB1 ODC1"
9,"Cell growth ","SYT4 BDNF SRF RGS2 RGS4 SOX9 FLRT3 HSPA1A SGK1"
9,"Sexual reproduction ","ABHD2 PTGS2 RFX2 RGS2 SOX9 MYC ADAMTS1 ING2 CXADR"
6,"Immune effector process ","FZD5 SMAD7 NR4A3 SLC2A3 APAF1 HSPA1A"
6,"Protein folding ","DNAJB1 DNAJB4 HSPA1A DNAJA1 HSPH1 RANBP2"
6,"Muscle adaptation ","ERRFI1 RGS2 RGS4 NR4A3 FOXO1 LMNA"
6,"Multi-multicellular organism process ","PTGS2 RGS2 FOSB CITED2 FOS JUNB"
5,"Activation of immune response ","NR4A3 TNIP2 PELI1 HSPA1A UBC"
5,"Autophagy ","FZD5 PLK2 PLK3 FOXO1 FBXW7"
5,"Locomotory behavior ","EGR1 GAD1 NR4A2 CIART FZD4"
5,"Methylation ","LCMT2 BTG2 LMNA MYC FOS"
5,"Leukocyte migration ","SCG2 IL16 CXADR THBS1 SLC16A1"
4,"Myeloid cell homeostasis ","SRF KLF2 CITED2 HSPA1A"
4,"Maintenance of cell number ","SOX9 FOXO1 MED7 LBH"
3,"Production of molecular mediator of immune response ","FZD5 SMAD7 NR4A3"
3,"Modification of morphology or physiology of other organism ","CCNK JUN MYC"
3,"Ovulation cycle ","EGR1 ADAMTS1 FZD4"
3,"Regulation of circadian rhythm ","PER2 FBXW7 SIAH2"
3,"Regulation of multi-organism process ","CCNK JUN TRIB1"
2,"Cartilage condensation ","SOX9 ACAN"
2,"Neurotransmitter secretion ","SYT4 GAD1"
2,"Rhythmic behavior ","EGR1 CIART"
2,"Feeding behavior ","NR4A3 FOS"
2,"Response to activity ","KDM6B SLC25A25"
2,"Ovulation cycle process ","ADAMTS1 FZD4"
2,"Developmental induction ","FZD5 SOX9"
2,"Hormone metabolic process ","EGR1 TIPARP"
2,"Response to estrogen ","CITED2 MYC"
2,"Maintenance of location ","MEST FBXW7"
2,"Intraspecies interaction between organisms ","GAD1 NPAS4"
2,"Multi-organism behavior ","GAD1 NPAS4"
2,"Cell aggregation ","SOX9 ACAN"
2,"Regulation of action potential ","KCNJ2 CXADR"
2,"Multi-organism localization ","UBC RANBP2"
2,"Regulation of reproductive process ","SOX9 CITED2"
