"","samplename","title","sourcename","organism","char1","char2","mol","des","Group","processes","R1filename","R2filename","process2"
"31","146B-CA3-2","15146B CA3 control","JA16444","15-146B","Mus musculus","C57BL/6","RNA"," ","control","146B-CA3-2 /abundance.txt","146B_CA3_2_S62_L003_R1_001.fastq.gz","146B_CA3_2_S62_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"32","146B-DG-2","15146B DG control","JA16444","15-146B","Mus musculus","C57BL/6","RNA"," ","control","146B-DG-2 /abundance.txt","146B_DG_2_S63_L003_R1_001.fastq.gz","146B_DG_2_S63_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"33","146C-CA1-4","15146C CA1 consistent","JA16444","15-146C","Mus musculus","C57BL/6","RNA"," ","consistent","146C-CA1-4 /abundance.txt","146C_CA1_4_S64_L003_R1_001.fastq.gz","146C_CA1_4_S64_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"34","146C-DG-4","15146C DG consistent","JA16444","15-146C","Mus musculus","C57BL/6","RNA"," ","consistent","146C-DG-4 /abundance.txt","146C_DG_4_S66_L003_R1_001.fastq.gz","146C_DG_4_S66_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"35","146D-CA1-3","15146D CA1 control","JA16444","15-146D","Mus musculus","C57BL/6","RNA"," ","control","146D-CA1-3 /abundance.txt","146D_CA1_3_S67_L003_R1_001.fastq.gz","146D_CA1_3_S67_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"36","146D-CA3-3","15146D CA3 control","JA16444","15-146D","Mus musculus","C57BL/6","RNA"," ","control","146D-CA3-3 /abundance.txt","146D_CA3_3_S68_L003_R1_001.fastq.gz","146D_CA3_3_S68_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"37","146D-DG-3","15146D DG control","JA16444","15-146D","Mus musculus","C57BL/6","RNA"," ","control","146D-DG-3 /abundance.txt","146D_DG_3_S69_L003_R1_001.fastq.gz","146D_DG_3_S69_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"38","147-CA1-4","15147 CA1 homecage","JA16444","15-147","Mus musculus","C57BL/6","RNA"," ","homecage","147-CA1-4 /abundance.txt","147_CA1_4_S76_L003_R1_001.fastq.gz","147_CA1_4_S76_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"39","147-CA3-4","15147 CA3 homecage","JA16444","15-147","Mus musculus","C57BL/6","RNA"," ","homecage","147-CA3-4 /abundance.txt","147_CA3_4_S77_L003_R1_001.fastq.gz","147_CA3_4_S77_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"40","147-DG-4","15147 DG homecage","JA16444","15-147","Mus musculus","C57BL/6","RNA"," ","homecage","147-DG-4 /abundance.txt","147_DG_4_S78_L003_R1_001.fastq.gz","147_DG_4_S78_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"41","147C-CA1-3","15147C CA1 consistent","JA16444","15-147C","Mus musculus","C57BL/6","RNA"," ","consistent","147C-CA1-3 /abundance.txt","147C_CA1_3_S70_L003_R1_001.fastq.gz","147C_CA1_3_S70_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"42","147C-CA3-3","15147C CA3 consistent","JA16444","15-147C","Mus musculus","C57BL/6","RNA"," ","consistent","147C-CA3-3 /abundance.txt","147C_CA3_3_S71_L003_R1_001.fastq.gz","147C_CA3_3_S71_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"43","147C-DG-3","15147C DG consistent","JA16444","15-147C","Mus musculus","C57BL/6","RNA"," ","consistent","147C-DG-3 /abundance.txt","147C_DG_3_S72_L003_R1_001.fastq.gz","147C_DG_3_S72_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"44","147D-CA3-1","15147D CA3 control","JA16444","15-147D","Mus musculus","C57BL/6","RNA"," ","control","147D-CA3-1 /abundance.txt","147D_CA3_1_S74_L003_R1_001.fastq.gz","147D_CA3_1_S74_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"45","147D-DG-1","15147D DG control","JA16444","15-147D","Mus musculus","C57BL/6","RNA"," ","control","147D-DG-1 /abundance.txt","147D_DG_1_S75_L003_R1_001.fastq.gz","147D_DG_1_S75_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"46","148-CA1-2","15148 CA1 homecage","JA16444","15-148","Mus musculus","C57BL/6","RNA"," ","homecage","148-CA1-2 /abundance.txt","148_CA1_2_S85_L003_R1_001.fastq.gz","148_CA1_2_S85_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"47","148-CA3-2","15148 CA3 homecage","JA16444","15-148","Mus musculus","C57BL/6","RNA"," ","homecage","148-CA3-2 /abundance.txt","148_CA3_2_S86_L003_R1_001.fastq.gz","148_CA3_2_S86_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"48","148-DG-2","15148 DG homecage","JA16444","15-148","Mus musculus","C57BL/6","RNA"," ","homecage","148-DG-2 /abundance.txt","148_DG_2_S87_L003_R1_001.fastq.gz","148_DG_2_S87_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"49","148A-CA1-3","15148A CA1 conflict","JA16444","15-148A","Mus musculus","C57BL/6","RNA"," ","conflict","148A-CA1-3 /abundance.txt","148A_CA1_3_S79_L003_R1_001.fastq.gz","148A_CA1_3_S79_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"50","148A-CA3-3","15148A CA3 conflict","JA16444","15-148A","Mus musculus","C57BL/6","RNA"," ","conflict","148A-CA3-3 /abundance.txt","148A_CA3_3_S80_L003_R1_001.fastq.gz","148A_CA3_3_S80_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"51","148A-DG-3","15148A DG conflict","JA16444","15-148A","Mus musculus","C57BL/6","RNA"," ","conflict","148A-DG-3 /abundance.txt","148A_DG_3_S81_L003_R1_001.fastq.gz","148A_DG_3_S81_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"52","148B-CA1-4","15148B CA1 control","JA16444","15-148B","Mus musculus","C57BL/6","RNA"," ","control","148B-CA1-4 /abundance.txt","148B_CA1_4_S82_L003_R1_001.fastq.gz","148B_CA1_4_S82_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"53","148B-CA3-4","15148B CA3 control","JA16444","15-148B","Mus musculus","C57BL/6","RNA"," ","control","148B-CA3-4 /abundance.txt","148B_CA3_4_S83_L003_R1_001.fastq.gz","148B_CA3_4_S83_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
"54","148B-DG-4","15148B DG control","JA16444","15-148B","Mus musculus","C57BL/6","RNA"," ","control","148B-DG-4 /abundance.txt","148B_DG_4_S84_L003_R1_001.fastq.gz","148B_DG_4_S84_L003_R2_001.fastq.gz","IntegrativeWT2015ColData.csv"
