enriched	depleted	gene_id	gene_short_name	uniprot_protein_name	coronalIshAvailable	coronalIshConsistent
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000022494	Shisa9	Protein shisa-9	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000001995	Sipa1l2	Signal-induced proliferation-associated 1-like protein 2	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000050822	Slc29a4	Equilibrative nucleoside transporter 4	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000060961	Slc4a4	Anion exchange protein; Electrogenic sodium bicarbonate cotransporter 1	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000064899	Snord118	-	0	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000046314	Stxbp6	-	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000051111	Sv2c	Synaptic vesicle glycoprotein 2C	1	0
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000002489	Tiam1	-	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000031997	Trpc6	Short transient receptor potential channel 6	1	1
dg_d-dg_v	ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000043456	Zfp536	Zinc finger protein 536	1	1
dg_d	dg_v	ENSMUSG00000028830	AU040320	Dyslexia-associated protein KIAA0319-like protein	0	0
dg_d	dg_v	ENSMUSG00000052423	B4galt3	"Beta-1,4-galactosyltransferase 3"	0	0
dg_d	dg_v	ENSMUSG00000091921	B930041F14Rik	-	0	0
dg_d	dg_v	ENSMUSG00000069806	Cacng7	Voltage-dependent calcium channel gamma subunit; Voltage-dependent calcium channel gamma-7 subunit	1	1
dg_d	dg_v	ENSMUSG00000079488	Cd47	-	1	0
dg_d	dg_v	ENSMUSG00000030747	Dgat2	Diacylglycerol O-acyltransferase 2	1	1
dg_d	dg_v	ENSMUSG00000054889	Dsp	Desmoplakin	0	0
dg_d	dg_v	ENSMUSG00000071341	Egr4	Early growth response protein 4	1	0
dg_d	dg_v	ENSMUSG00000022895	Ets2	Protein C-ets-2	0	0
dg_d	dg_v	ENSMUSG00000027198	Ext2	Exostosin-2	0	0
dg_d	dg_v	ENSMUSG00000009216	Fam163b	Protein FAM163B	1	1
dg_d	dg_v	ENSMUSG00000030956	Fam53b	Protein FAM53B	0	0
dg_d	dg_v	ENSMUSG00000091267	Gm17322	-	0	0
dg_d	dg_v	ENSMUSG00000008734	Gprc5b	G-protein coupled receptor family C group 5 member B	1	1
dg_d	dg_v	ENSMUSG00000031822	Gse1	Genetic suppressor element 1	0	0
dg_d	dg_v	ENSMUSG00000033543	Gtf2a2	Transcription initiation factor IIA subunit 2	0	0
dg_d	dg_v	ENSMUSG00000037894	H2afz	Histone H2A.Z; Histone H2A	0	0
dg_d	dg_v	ENSMUSG00000034570	Inpp5j	"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A"	1	1
dg_d	dg_v	ENSMUSG00000062785	Kcnc3	-	1	1
dg_d	dg_v	ENSMUSG00000033998	Kcnk1	Potassium channel subfamily K member 1	1	1
dg_d	dg_v	ENSMUSG00000052040	Klf13	Krueppel-like factor 13	0	0
dg_d	dg_v	ENSMUSG00000006024	Napa	Alpha-soluble NSF attachment protein	0	0
dg_d	dg_v	ENSMUSG00000056724	Nbeal2	Neurobeachin-like protein 2	0	0
dg_d	dg_v	ENSMUSG00000029478	Ncor2	Nuclear receptor corepressor 2	0	0
dg_d	dg_v	ENSMUSG00000038255	Neurod2	Neurogenic differentiation factor 2; Neurogenic differentiation factor	1	1
dg_d	dg_v	ENSMUSG00000044014	Npy5r	Neuropeptide Y receptor type 5	0	0
dg_d	dg_v	ENSMUSG00000053310	Nrgn	Neurogranin	0	0
dg_d	dg_v	ENSMUSG00000022197	Pdzd2	-	1	1
dg_d	dg_v	ENSMUSG00000031557	Plekha2	Pleckstrin homology domain-containing family A member 2	1	1
dg_d	dg_v	ENSMUSG00000039713	Plekhg5	Pleckstrin homology domain-containing family G member 5	1	0
dg_d	dg_v	ENSMUSG00000002963	Pnkp	-	0	0
dg_d	dg_v	ENSMUSG00000010205	Raver1	Ribonucleoprotein PTB-binding 1	0	0
dg_d	dg_v	ENSMUSG00000032128	Robo3	-	0	0
dg_d	dg_v	ENSMUSG00000022436	Sh3bp1	Pyridoxal phosphate phosphatase	0	0
dg_d	dg_v	ENSMUSG00000064382	SNORA63	-	0	0
dg_d	dg_v	ENSMUSG00000032327	Stra6	-	1	1
dg_d	dg_v	ENSMUSG00000059981	Taok2	Serine/threonine-protein kinase TAO2	0	0
dg_d	dg_v	ENSMUSG00000066278	Vps37b	Vacuolar protein sorting-associated protein 37B	0	0
dg_d	dg_v	ENSMUSG00000043456	Zfp536	Zinc finger protein 536	1	1
dg_v	dg_d	ENSMUSG00000026463	Atp2b4	Plasma membrane calcium-transporting ATPase 4; Calcium-transporting ATPase	0	0
dg_v	dg_d	ENSMUSG00000025199	Chuk	-	1	0
dg_v	dg_d	ENSMUSG00000043631	Ecm2	Extracellular matrix protein 2	0	0
dg_v	dg_d	ENSMUSG00000046743	Fat4	Protocadherin Fat 4	1	0
dg_v	dg_d	ENSMUSG00000006369	Fbln1	Fibulin-1	1	1
dg_v	dg_d	ENSMUSG00000049928	Glp2r	Glucagon-like peptide 2 receptor	0	0
dg_v	dg_d	ENSMUSG00000068428	Gm606	Geminin coiled-coil domain-containing protein 1	0	0
dg_v	dg_d	ENSMUSG00000024810	Il33	Interleukin-33	0	0
dg_v	dg_d	ENSMUSG00000019966	Kitl	Kit ligand	1	1
dg_v	dg_d	ENSMUSG00000015882	Lcorl	Ligand-dependent nuclear receptor corepressor-like protein	0	0
dg_v	dg_d	ENSMUSG00000015880	Ncapg	-	0	0
dg_v	dg_d	ENSMUSG00000035357	Pdzrn3	E3 ubiquitin-protein ligase PDZRN3	1	1
dg_v	dg_d	ENSMUSG00000075316	Scn9a	Sodium channel protein; Sodium channel protein type 9 subunit alpha	0	0
dg_v	dg_d	ENSMUSG00000029123	Stk32b	Serine/threonine-protein kinase 32B	0	0
dg_v	dg_d	ENSMUSG00000043668	Tox3	TOX high mobility group box family member 3	1	1
dg_v	dg_d	ENSMUSG00000038760	Trhr	Thyrotropin-releasing hormone receptor	1	1
dg_v	dg_d	ENSMUSG00000046982	Tshz1	Teashirt homolog 1	1	1
dg_v	dg_d	ENSMUSG00000036699	Zcchc12	Zinc finger CCHC domain-containing protein 12	1	1
dg_v	dg_d	ENSMUSG00000045333	Zfp423	Zinc finger protein 423	1	1
dg_v	dg_d	ENSMUSG00000036036	Zfp57	Zinc finger protein 57	1	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000038065	2410066E13Rik	Maturin	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000044288	Cnr1	Cannabinoid receptor 1	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000037852	Cpe	Carboxypeptidase E	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000030772	Dkk3	Dickkopf-related protein 3	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000025558	Dock9	-	0	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000028546	Elavl4	ELAV-like protein; ELAV-like protein 4	0	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000004031	Fam5b	BMP/retinoic acid-inducible neural-specific protein 2	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000008136	Fhl2	Four and a half LIM domains protein 2	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000047261	Gap43	Neuromodulin	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000057716	Gm5567	-	0	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000057614	Gnai1	Guanine nucleotide-binding protein G(i) subunit alpha-1	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000007594	Hapln4	Hyaluronan and proteoglycan link protein 4	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000022332	Khdrbs3	"KH domain-containing, RNA-binding, signal transduction-associated protein 3"	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000032418	Me1	NADP-dependent malic enzyme; Malic enzyme	0	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000037984	Neurod6	Neurogenic differentiation factor; Neurogenic differentiation factor 6	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000024500	Ppp2r2b	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform	1	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000078816	Prkcc	Protein kinase C; Protein kinase C gamma type	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000056553	Ptprn2	Receptor-type tyrosine-protein phosphatase N2	0	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000021700	Rab3c	Ras-related protein Rab-3C	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000023236	Scg5	Neuroendocrine protein 7B2	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000063531	Sema3e	Semaphorin-3E	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000025425	St8sia5	"Alpha-2,8-sialyltransferase 8E"	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000027500	Stmn2	Stathmin-2; Stathmin	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000053025	Sv2b	Synaptic vesicle glycoprotein 2B	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000023805	Synj2	Synaptojanin-2	1	1
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000035864	Syt1	Synaptotagmin-1	1	0
ca4-ca3_d-ca3_v-ca2-ca1_d-ca1_v	dg_d-dg_v	ENSMUSG00000032289	Thsd4	Thrombospondin type-1 domain-containing protein 4	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000023328	Ache	Carboxylic ester hydrolase; Acetylcholinesterase	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000062753	AI413582	-	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000008036	Ap2s1	AP-2 complex subunit sigma	1	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000004285	Atp6v1f	V-type proton ATPase subunit F	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000003657	Calb2	Calretinin	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000051146	Camk2n2	Calcium/calmodulin-dependent protein kinase II inhibitor 2	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000017188	Ccdc56	"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial"	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000028755	Cda	Cytidine deaminase	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000070493	Chchd2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	1	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000054196	Cthrc1	Collagen triple helix repeat-containing protein 1	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000034164	Emid1	EMI domain-containing protein 1	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029869	Ephb6	Ephrin type-B receptor 6	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000003346	Fam108a	Alpha/beta hydrolase domain-containing protein 17A	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000066705	Fxyd6	FXYD domain-containing ion transport regulator 6	1	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000009633	G0s2	G0/G1 switch protein 2	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000024907	Gal	Galanin peptides	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000085035	Gm12031	-	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000080242	Gm15487	-	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000091932	Gm17596	-	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000073411	H2-D1	"H-2 class I histocompatibility antigen, D-B alpha chain"	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000023904	Hcfc1r1	Host cell factor C1 regulator 1	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000043445	Pgp	Phosphoglycolate phosphatase	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000018217	Pmp22	-	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000031897	Psmb10	Proteasome subunit beta type-10	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000003380	Rabac1	Prenylated Rab acceptor protein 1	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000018012	Rac3	Ras-related C3 botulinum toxin substrate 3	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029641	Rasl11a	Ras-like protein family member 11A	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000032387	Rbpms2	RNA-binding protein with multiple splicing 2	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000029101	Rgs12	Regulator of G-protein signaling 12	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000071415	Rpl23	60S ribosomal protein L23	1	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000001227	Sema6b	Semaphorin-6B	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000000753	Serpinf1	Pigment epithelium-derived factor	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000030089	Slc41a3	Solute carrier family 41 member 3	1	1
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000052026	Slc6a7	Sodium-dependent proline transporter	1	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000027581	Stmn3	Stathmin-3; Stathmin	0	0
ca4	ca3_d-ca3_v-ca2-ca1_d-ca1_v	ENSMUSG00000037428	Vgf	-	1	0
ca3_d-ca3_v-ca2-ca1_d-ca1_v	ca4	ENSMUSG00000029153	Ociad2	OCIA domain-containing protein 2	1	1
ca3_d	ca3_v	ENSMUSG00000046186	Cd109	CD109 antigen	1	1
ca3_d	ca3_v	ENSMUSG00000027350	Chgb	Secretogranin-1	1	0
ca3_d	ca3_v	ENSMUSG00000032537	Ephb1	Ephrin type-B receptor 1	1	1
ca3_d	ca3_v	ENSMUSG00000019762	Iyd	Iodotyrosine deiodinase 1	1	1
ca3_d	ca3_v	ENSMUSG00000055044	Pdlim1	PDZ and LIM domain protein 1	0	0
ca3_d	ca3_v	ENSMUSG00000021948	Prkcd	Protein kinase C delta type; Protein kinase C	1	1
ca3_d	ca3_v	ENSMUSG00000032487	Ptgs2	Prostaglandin G/H synthase 2	1	1
ca3_d	ca3_v	ENSMUSG00000005089	Slc1a2	Amino acid transporter; Excitatory amino acid transporter 2	1	1
ca3_d	ca3_v	ENSMUSG00000050663	Trhde	Thyrotropin-releasing hormone-degrading ectoenzyme	1	1
ca3_v	ca3_d	ENSMUSG00000020953	Coch	Cochlin	1	1
ca3_v	ca3_d	ENSMUSG00000091243	Vgll3	-	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000078612	1700024P16Rik	Uncharacterized protein C1orf168 homolog	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000022840	Adcy5	Adenylate cyclase type 5	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000021125	Arg2	"Arginase-2, mitochondrial"	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000021991	Cacna2d3	Voltage-dependent calcium channel subunit alpha-2/delta-3	1	0
ca2	ca3_d-ca3_v	ENSMUSG00000040373	Cacng5	Voltage-dependent calcium channel gamma subunit; Voltage-dependent calcium channel gamma-5 subunit	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000038128	Camk4	-	1	0
ca2	ca3_d-ca3_v	ENSMUSG00000026676	Ccdc3	Coiled-coil domain-containing protein 3	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000021097	Clmn	Calmin	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000030560	Ctsc	Dipeptidyl peptidase 1	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000034765	Dusp5	Dual specificity protein phosphatase	1	0
ca2	ca3_d-ca3_v	ENSMUSG00000036611	Eepd1	Endonuclease/exonuclease/phosphatase family domain-containing protein 1	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000039629	Fam40b	Striatin-interacting proteins 2	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000032265	Fam46a	-	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000037225	Fgf2	Fibroblast growth factor 2; Fibroblast growth factor	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000029337	Fgf5	Fibroblast growth factor 5	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000082328	Gm13921	-	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000041468	Gpr12	G-protein coupled receptor 12	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000025068	Gsto1	Glutathione S-transferase omega-1	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000021484	Lman2	Vesicular integral-membrane protein VIP36	1	0
ca2	ca3_d-ca3_v	ENSMUSG00000054720	Lrrc8c	Volume-regulated anion channel subunit LRRC8C	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000000957	Mmp14	Matrix metalloproteinase-14	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000027634	Ndrg3	Protein NDRG3	1	0
ca2	ca3_d-ca3_v	ENSMUSG00000031837	Necab2	N-terminal EF-hand calcium-binding protein 2	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000020591	Ntsr2	Neurotensin receptor type 2	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000049148	Plcxd3	-	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000039405	Prss23	Serine protease 23	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000034910	Pygo1	Pygopus homolog 1	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000052087	Rgs14	Regulator of G-protein signaling 14	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000026678	Rgs5	Regulator of G-protein signaling 5	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000033208	S100b	Protein S100-B; Protein S100	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000023032	Slc4a8	Electroneutral sodium bicarbonate exchanger 1	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000036169	Sostdc1	Sclerostin domain-containing protein 1	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000026425	Srgap2	SLIT-ROBO Rho GTPase-activating protein 2	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000003418	St8sia6	"Alpha-2,8-sialyltransferase 8F"	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000046027	Stard5	StAR-related lipid transfer protein 5	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000022829	Stxbp5l	Syntaxin-binding protein 5-like	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000003824	Syce2	Synaptonemal complex central element protein 2	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000030782	Tgfb1i1	Transforming growth factor beta-1-induced transcript 1 protein	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000021614	Vcan	-	1	1
ca2	ca3_d-ca3_v	ENSMUSG00000024076	Vit	Vitrin	0	0
ca2	ca3_d-ca3_v	ENSMUSG00000070866	Zfp804a	Zinc finger protein 804A	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000049946	BC030500	-	0	0
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000029330	Cds1	Phosphatidate cytidylyltransferase 1	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000026841	Fibcd1	Fibrinogen C domain-containing protein 1	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000028184	Lphn2	Adhesion G protein-coupled receptor L2	1	0
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000003746	Man1a	"alpha-1,2-Mannosidase; Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000041708	Mpped1	Metallophosphoesterase domain-containing protein 1	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000037362	Nov	Protein NOV homolog	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000027674	Pex5l	PEX5-related protein	1	0
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000038331	Satb2	DNA-binding protein SATB2; DNA-binding protein SATB	1	1
ca1_d-ca1_v	ca2-ca3_d-ca3_v	ENSMUSG00000042063	Zfp386	-	0	0
ca1_d	ca1_v	ENSMUSG00000060424	2610017I09Rik	-	1	1
