gene_id	gene_short_name	uniprot_protein_name	dg_d_fpkm	dg_v_fpkm	ratio	coronalIshExists	coronalIshCorrect
ENSMUSG00000059851	Suv420h2	Histone-lysine N-methyltransferase SUV420H2	32.1707	1.0332	31	0	0
ENSMUSG00000037995	Igsf9	Protein turtle homolog A	10.5862	0.403048	26	0	0
ENSMUSG00000026354	Lct	-	31.5113	1.20592	26	1	1
ENSMUSG00000005413	Hmox1	Heme oxygenase 1	12.3172	0.504858	24	0	0
ENSMUSG00000027347	Rasgrp1	RAS guanyl-releasing protein 1	169.497	7.12517	24	1	0
ENSMUSG00000051067	Lingo3	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3	40.3928	1.75625	23	0	0
ENSMUSG00000081424	Gm14774	-	14.9148	0.653344	23	0	0
ENSMUSG00000034271	Jdp2	Jun dimerization protein 2	34.385	1.58341	22	1	1
ENSMUSG00000093205	AC122417.1	-	13.1752	0.609584	22	0	0
ENSMUSG00000033726	Emx1	Homeobox protein EMX1	12.5829	0.636171	20	0	0
ENSMUSG00000042436	Mfap4	Microfibril-associated glycoprotein 4	35.2912	1.85367	19	0	0
ENSMUSG00000030587	2200002D01Rik	-	12.1006	0.679244	18	0	0
ENSMUSG00000025779	Ly96	Lymphocyte antigen 96	13.2018	0.74427	18	0	0
ENSMUSG00000019158	Tmem160	Transmembrane protein 160	14.9208	0.869951	17	0	0
ENSMUSG00000033174	Mgll	Monoglyceride lipase	28.022	1.75345	16	1	1
ENSMUSG00000023984	Gm20517	-	22.1285	1.4716	15	0	0
ENSMUSG00000006411	Pvrl4	Nectin-4	10.184	0.685652	15	1	0
ENSMUSG00000054889	Dsp	Desmoplakin	50.2956	3.54869	14	0	0
ENSMUSG00000040373	Cacng5	Voltage-dependent calcium channel gamma subunit; Voltage-dependent calcium channel gamma-5 subunit	13.2512	0.948136	14	1	1
ENSMUSG00000087774	7SK	-	36.8397	2.6409	14	0	0
ENSMUSG00000027489	Necab3	N-terminal EF-hand calcium-binding protein 3	28.1388	2.03488	14	1	1
ENSMUSG00000046182	Gsg1l	Germ cell-specific gene 1-like protein	14.3199	1.05676	14	1	1
ENSMUSG00000032327	Stra6	-	26.2789	2.0126	13	1	1
ENSMUSG00000021990	Spata13	-	14.9849	1.16972	13	0	0
ENSMUSG00000025283	Sat1	Diamine acetyltransferase 1	18.8505	1.47308	13	1	1
ENSMUSG00000031762	Mt2	Metallothionein-2	80.5944	6.33813	13	0	0
ENSMUSG00000031974	Abcb10	"ATP-binding cassette sub-family B member 10, mitochondrial"	15.4179	1.22874	13	1	1
ENSMUSG00000025351	Cd63	CD63 antigen; Tetraspanin	11.7353	0.936669	13	1	1
ENSMUSG00000027488	Snta1	Alpha-1-syntrophin	13.9215	1.13259	12	0	0
ENSMUSG00000047990	C2cd4a	-	11.125	0.954089	12	1	1
ENSMUSG00000021221	Dpf3	Zinc finger protein DPF3	12.3538	1.06024	12	0	0
ENSMUSG00000047793	Sned1	-	10.5179	0.905914	12	1	1
ENSMUSG00000069268	Hist1h2bf	Histone H2B type 1-F/J/L	15.8381	1.36909	12	0	0
ENSMUSG00000040659	Efhd2	-	70.9259	6.13521	12	0	0
ENSMUSG00000053310	Nrgn	Neurogranin	1060.08	92.7626	11	1	0
ENSMUSG00000037214	Thap1	THAP domain-containing protein 1	19.8719	1.75237	11	1	0
ENSMUSG00000048997	Atxn7l2	-	76.6881	6.89851	11	0	0
ENSMUSG00000022436	Sh3bp1	Pyridoxal phosphate phosphatase	27.4439	2.54557	11	0	0
ENSMUSG00000020471	Pold2	DNA polymerase delta subunit 2	27.2788	2.56114	11	0	0
ENSMUSG00000029862	Clcn1	Chloride channel protein; Chloride channel protein 1	18.587	1.78086	10	0	0
ENSMUSG00000090300	Gm17119	-	12.6601	1.2179	10	0	0
ENSMUSG00000008734	Gprc5b	G-protein coupled receptor family C group 5 member B	29.4162	2.93099	10	0	0
ENSMUSG00000034903	Cobll1	Cordon-bleu protein-like 1	0	10.9886	Inf	0	0
ENSMUSG00000046341	Gm11223	-	0	12.4029	Inf	0	0
ENSMUSG00000052485	Tmem171	Transmembrane protein 171	0	11.3661	Inf	0	0
ENSMUSG00000092541	Gm20537	-	0	14.1149	Inf	1	0
ENSMUSG00000001313	Rnd2	Rho-related GTP-binding protein RhoN	0.0351808	19.2837	548	1	1
ENSMUSG00000030551	Nr2f2	COUP transcription factor 2	0.0443895	20.1942	455	1	1
ENSMUSG00000074345	Tnfaip8l3	Tumor necrosis factor alpha-induced protein 8-like protein 3	0.210782	61.8845	294	1	1
ENSMUSG00000043668	Tox3	TOX high mobility group box family member 3	0.113825	26.8346	236	0	0
ENSMUSG00000070047	Fat1	-	0.0711992	11.4848	161	1	1
ENSMUSG00000048078	Odz4	Teneurin-4	0.201449	29.5013	146	1	1
ENSMUSG00000059974	Ntm	Neurotrimin	0.261415	28.6687	110	1	0
ENSMUSG00000032348	Gsta4	Glutathione S-transferase A4	0.26197	25.741	98	1	0
ENSMUSG00000045333	Zfp423	Zinc finger protein 423	0.381667	36.3151	95	1	1
ENSMUSG00000038760	Trhr	Thyrotropin-releasing hormone receptor	0.969457	91.3012	94	0	0
ENSMUSG00000075316	Scn9a	Sodium channel protein; Sodium channel protein type 9 subunit alpha	0.236018	18.0445	76	0	0
ENSMUSG00000090407	Gm16042	-	0.155282	10.2638	66	1	1
ENSMUSG00000024517	Grp	Gastrin-releasing peptide	1.63633	90.516	55	1	1
ENSMUSG00000035357	Pdzrn3	E3 ubiquitin-protein ligase PDZRN3	0.21997	11.4821	52	1	0
ENSMUSG00000003411	Rab3b	Ras-related protein Rab-3B	0.346836	17.9352	52	0	0
ENSMUSG00000041828	Abca8a	ATP-binding cassette sub-family A member 8-A	0.205229	10.5468	51	0	0
ENSMUSG00000087304	Gm15415	-	0.482389	19.8661	41	0	0
ENSMUSG00000029123	Stk32b	Serine/threonine-protein kinase 32B	0.784836	32.017	41	1	0
ENSMUSG00000056222	Spock1	-	0.893469	35.4047	40	1	1
ENSMUSG00000034796	Cpne7	Copine-7	0.486604	18.0397	37	1	0
ENSMUSG00000024501	Dpysl3	Dihydropyrimidinase-related protein 3	0.304022	11.1603	37	0	0
ENSMUSG00000033082	Clec1a	C-type lectin domain family 1 member A	0.362857	12.8453	35	1	0
ENSMUSG00000023826	Park2	E3 ubiquitin-protein ligase parkin	0.313627	10.0857	32	1	1
ENSMUSG00000019929	Dcn	Decorin	1.90025	53.2705	28	0	0
ENSMUSG00000021360	Gcnt2	"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase"	0.610797	16.5725	27	0	0
ENSMUSG00000043631	Ecm2	Extracellular matrix protein 2	1.36388	34.5681	25	0	0
ENSMUSG00000043067	Dpy19l1	Probable C-mannosyltransferase DPY19L1	0.848602	20.4718	24	1	0
ENSMUSG00000042581	Thsd7b	Thrombospondin type-1 domain-containing protein 7B	0.549794	12.7845	23	1	1
ENSMUSG00000039419	Cntnap2	Contactin-associated protein-like 2	1.16053	25.399	22	1	0
ENSMUSG00000041594	Tmtc4	Transmembrane and TPR repeat-containing protein 4	1.57552	34.4071	22	0	0
ENSMUSG00000036036	Zfp57	Zinc finger protein 57	0.864675	18.7703	22	1	0
ENSMUSG00000019817	Plagl1	-	0.542178	11.6778	22	1	0
ENSMUSG00000027577	Chrna4	Neuronal acetylcholine receptor subunit alpha-4	0.739645	15.7373	21	1	0
ENSMUSG00000091002	Tcerg1l	Transcription elongation regulator 1-like protein	0.880573	15.7084	18	1	1
ENSMUSG00000045053	Kcng3	Potassium voltage-gated channel subfamily G member 3	1.2073	20.1061	17	1	1
ENSMUSG00000056875	Gm3386	-	1.20903	19.8766	16	0	0
ENSMUSG00000026463	Atp2b4	Plasma membrane calcium-transporting ATPase 4; Calcium-transporting ATPase	6.54821	103.762	16	0	0
ENSMUSG00000085849	A730020E08Rik	-	0.853775	13.5108	16	0	0
ENSMUSG00000049928	Glp2r	Glucagon-like peptide 2 receptor	1.3236	20.0455	15	0	0
ENSMUSG00000040536	Necab1	N-terminal EF-hand calcium-binding protein 1	2.03645	29.7656	15	1	1
ENSMUSG00000017466	Timp2	-	9.3839	134.223	14	1	0
ENSMUSG00000025545	Clybl	"Citrate lyase subunit beta-like protein, mitochondrial"	0.880703	12.5082	14	0	0
ENSMUSG00000059173	Pde1a	-	7.28509	99.6069	14	1	1
ENSMUSG00000087674	4930447M23Rik	-	0.853437	11.5728	14	0	0
ENSMUSG00000026566	Mpzl1	Myelin protein zero-like protein 1	0.756019	10.2108	14	1	0
ENSMUSG00000027858	Tspan2	Tetraspanin; Tetraspanin-2	0.837384	10.7442	13	1	0
ENSMUSG00000021721	Htr1a	5-hydroxytryptamine receptor 1A	2.93628	35.1453	12	1	0
ENSMUSG00000001300	Efnb2	Ephrin-B2	2.90369	32.8251	11	1	1
ENSMUSG00000050069	Grem2	Gremlin; Gremlin-2	1.67162	18.7286	11	1	1
